gpu,num_nodes,num_gpus_per_node,dtype,size(kb),time(us)
V100-PCIE-16GB,1,4,half,1,18.83
V100-PCIE-16GB,1,4,half,2,18.96
V100-PCIE-16GB,1,4,half,4,22.02
V100-PCIE-16GB,1,4,half,8,19.4
V100-PCIE-16GB,1,4,half,16,23.49
V100-PCIE-16GB,1,4,half,32,26.97
V100-PCIE-16GB,1,4,half,64,47.12
V100-PCIE-16GB,1,4,half,128,60.54
V100-PCIE-16GB,1,4,half,256,84.87
V100-PCIE-16GB,1,4,half,512,128.0
V100-PCIE-16GB,1,4,half,1024,216.2
V100-PCIE-16GB,1,4,half,2048,399.1
V100-PCIE-16GB,1,4,half,4096,779.4
V100-PCIE-16GB,1,4,half,8192,1546.0
V100-PCIE-16GB,1,4,half,16384,3083.4
V100-PCIE-16GB,1,4,half,32768,6147.5
V100-PCIE-16GB,1,4,half,65536,12285.0
V100-PCIE-16GB,1,4,half,131072,24521.0
V100-PCIE-16GB,1,4,half,262144,49011.0
V100-PCIE-16GB,1,2,half,1,10.34
V100-PCIE-16GB,1,2,half,2,10.53
V100-PCIE-16GB,1,2,half,4,11.68
V100-PCIE-16GB,1,2,half,8,12.67
V100-PCIE-16GB,1,2,half,16,16.17
V100-PCIE-16GB,1,2,half,32,20.99
V100-PCIE-16GB,1,2,half,64,32.33
V100-PCIE-16GB,1,2,half,128,43.02
V100-PCIE-16GB,1,2,half,256,65.92
V100-PCIE-16GB,1,2,half,512,109.7
V100-PCIE-16GB,1,2,half,1024,196.8
V100-PCIE-16GB,1,2,half,2048,362.2
V100-PCIE-16GB,1,2,half,4096,722.4
V100-PCIE-16GB,1,2,half,8192,1413.3
V100-PCIE-16GB,1,2,half,16384,2792.3
V100-PCIE-16GB,1,2,half,32768,5559.2
V100-PCIE-16GB,1,2,half,65536,11042.0
V100-PCIE-16GB,1,2,half,131072,22076.0
V100-PCIE-16GB,1,2,half,262144,43978.0
V100-PCIE-16GB,2,1,half,1,144.0
V100-PCIE-16GB,2,1,half,2,157.0
V100-PCIE-16GB,2,1,half,4,152.0
V100-PCIE-16GB,2,1,half,8,200.0
V100-PCIE-16GB,2,1,half,16,221.0
V100-PCIE-16GB,2,1,half,32,269.0
V100-PCIE-16GB,2,1,half,64,455.0
V100-PCIE-16GB,2,1,half,128,381.0
V100-PCIE-16GB,2,1,half,256,500.0
V100-PCIE-16GB,2,1,half,512,959.0
V100-PCIE-16GB,2,1,half,1024,1576.0
V100-PCIE-16GB,2,1,half,2048,2094.0
V100-PCIE-16GB,2,1,half,4096,3666.0
V100-PCIE-16GB,2,1,half,8192,6454.0
V100-PCIE-16GB,2,1,half,16384,9988.0
V100-PCIE-16GB,2,1,half,32768,20720.0
