gpu,num_nodes,num_gpus_per_node,dtype,size(kb),time(us)
V100-PCIE-16GB,1,4,half,1,18.86
V100-PCIE-16GB,1,4,half,2,18.48
V100-PCIE-16GB,1,4,half,4,19.3
V100-PCIE-16GB,1,4,half,8,19.14
V100-PCIE-16GB,1,4,half,16,22.3
V100-PCIE-16GB,1,4,half,32,27.08
V100-PCIE-16GB,1,4,half,64,44.5
V100-PCIE-16GB,1,4,half,128,55.22
V100-PCIE-16GB,1,4,half,256,82.76
V100-PCIE-16GB,1,4,half,512,124.0
V100-PCIE-16GB,1,4,half,1024,352.6
V100-PCIE-16GB,1,4,half,2048,398.9
V100-PCIE-16GB,1,4,half,4096,771.3
V100-PCIE-16GB,1,4,half,8192,1521.8
V100-PCIE-16GB,1,4,half,16384,3012.2
V100-PCIE-16GB,1,4,half,32768,6005.6
V100-PCIE-16GB,1,4,half,65536,11995.0
V100-PCIE-16GB,1,4,half,131072,23993.0
V100-PCIE-16GB,1,4,half,262144,47954.0
V100-PCIE-16GB,1,2,half,1,9.98
V100-PCIE-16GB,1,2,half,2,10.34
V100-PCIE-16GB,1,2,half,4,10.88
V100-PCIE-16GB,1,2,half,8,12.6
V100-PCIE-16GB,1,2,half,16,15.89
V100-PCIE-16GB,1,2,half,32,22.21
V100-PCIE-16GB,1,2,half,64,31.72
V100-PCIE-16GB,1,2,half,128,43.31
V100-PCIE-16GB,1,2,half,256,65.86
V100-PCIE-16GB,1,2,half,512,110.3
V100-PCIE-16GB,1,2,half,1024,194.5
V100-PCIE-16GB,1,2,half,2048,361.5
V100-PCIE-16GB,1,2,half,4096,713.2
V100-PCIE-16GB,1,2,half,8192,1411.8
V100-PCIE-16GB,1,2,half,16384,2799.8
V100-PCIE-16GB,1,2,half,32768,5569.5
V100-PCIE-16GB,1,2,half,65536,11131.0
V100-PCIE-16GB,1,2,half,131072,22284.0
V100-PCIE-16GB,1,2,half,262144,44481.0
V100-PCIE-16GB,2,4,half,1,428.0
V100-PCIE-16GB,2,4,half,2,437.0
V100-PCIE-16GB,2,4,half,4,408.0
V100-PCIE-16GB,2,4,half,8,441.0
V100-PCIE-16GB,2,4,half,16,442.0
V100-PCIE-16GB,2,4,half,32,520.0
V100-PCIE-16GB,2,4,half,64,703.0
V100-PCIE-16GB,2,4,half,128,799.0
V100-PCIE-16GB,2,4,half,256,887.0
V100-PCIE-16GB,2,4,half,512,1157.0
V100-PCIE-16GB,2,4,half,1024,2031.0
V100-PCIE-16GB,2,4,half,2048,2942.0
V100-PCIE-16GB,2,4,half,4096,4866.0
V100-PCIE-16GB,2,4,half,8192,8767.0
V100-PCIE-16GB,2,4,half,16384,15167.0
V100-PCIE-16GB,2,4,half,32768,27879.0
V100-PCIE-16GB,2,4,half,65536,50720.0
V100-PCIE-16GB,2,4,half,131072,120720.0
V100-PCIE-16GB,2,4,half,262144,189858.0
V100-PCIE-16GB,2,2,half,1,272.0
V100-PCIE-16GB,2,2,half,2,280.0
V100-PCIE-16GB,2,2,half,4,285.0
V100-PCIE-16GB,2,2,half,8,308.0
V100-PCIE-16GB,2,2,half,16,337.0
V100-PCIE-16GB,2,2,half,32,431.0
V100-PCIE-16GB,2,2,half,64,500.0
V100-PCIE-16GB,2,2,half,128,562.0
V100-PCIE-16GB,2,2,half,256,718.0
V100-PCIE-16GB,2,2,half,512,1021.0
V100-PCIE-16GB,2,2,half,1024,1588.0
V100-PCIE-16GB,2,2,half,2048,2555.0
V100-PCIE-16GB,2,2,half,4096,4172.0
V100-PCIE-16GB,2,2,half,8192,7824.0
V100-PCIE-16GB,2,2,half,16384,13395.0
V100-PCIE-16GB,2,2,half,32768,22994.0
V100-PCIE-16GB,2,2,half,65536,51801.0
V100-PCIE-16GB,2,2,half,131072,87183.0
V100-PCIE-16GB,2,2,half,262144,183011.0
V100-PCIE-16GB,2,1,half,1,134.0
V100-PCIE-16GB,2,1,half,2,157.0
V100-PCIE-16GB,2,1,half,4,163.0
V100-PCIE-16GB,2,1,half,8,180.0
V100-PCIE-16GB,2,1,half,16,206.0
V100-PCIE-16GB,2,1,half,32,250.0
V100-PCIE-16GB,2,1,half,64,291.0
V100-PCIE-16GB,2,1,half,128,375.0
V100-PCIE-16GB,2,1,half,256,505.0
V100-PCIE-16GB,2,1,half,512,822.0
V100-PCIE-16GB,2,1,half,1024,1201.0
V100-PCIE-16GB,2,1,half,2048,1862.0
V100-PCIE-16GB,2,1,half,4096,3240.0
V100-PCIE-16GB,2,1,half,8192,5226.0
V100-PCIE-16GB,2,1,half,16384,9393.0
V100-PCIE-16GB,2,1,half,32768,16818.0
V100-PCIE-16GB,2,1,half,65536,35293.0
V100-PCIE-16GB,2,1,half,131072,67417.0
V100-PCIE-16GB,2,1,half,262144,131129.0
V100-PCIE-16GB,4,4,half,1,1388.0
V100-PCIE-16GB,4,4,half,2,1528.0
V100-PCIE-16GB,4,4,half,4,1441.0
V100-PCIE-16GB,4,4,half,8,1326.0
V100-PCIE-16GB,4,4,half,16,1733.0
V100-PCIE-16GB,4,4,half,32,1913.0
V100-PCIE-16GB,4,4,half,64,1633.0
V100-PCIE-16GB,4,4,half,128,2479.0
V100-PCIE-16GB,4,4,half,256,2782.0
V100-PCIE-16GB,4,4,half,512,6287.0
V100-PCIE-16GB,4,4,half,1024,8274.0
V100-PCIE-16GB,4,4,half,2048,13183.0
V100-PCIE-16GB,4,4,half,4096,16397.0
V100-PCIE-16GB,4,4,half,8192,17600.0
V100-PCIE-16GB,4,4,half,16384,24529.0
V100-PCIE-16GB,4,4,half,32768,39709.0
V100-PCIE-16GB,4,4,half,65536,61164.0
V100-PCIE-16GB,4,4,half,131072,126952.0
V100-PCIE-16GB,4,4,half,262144,244090.0
V100-PCIE-16GB,4,2,half,1,741.0
V100-PCIE-16GB,4,2,half,2,731.0
V100-PCIE-16GB,4,2,half,4,823.0
V100-PCIE-16GB,4,2,half,8,873.0
V100-PCIE-16GB,4,2,half,16,974.0
V100-PCIE-16GB,4,2,half,32,965.0
V100-PCIE-16GB,4,2,half,64,1517.0
V100-PCIE-16GB,4,2,half,128,2018.0
V100-PCIE-16GB,4,2,half,256,1472.0
V100-PCIE-16GB,4,2,half,512,1882.0
V100-PCIE-16GB,4,2,half,1024,2966.0
V100-PCIE-16GB,4,2,half,2048,4492.0
V100-PCIE-16GB,4,2,half,4096,7882.0
V100-PCIE-16GB,4,2,half,8192,16642.0
V100-PCIE-16GB,4,2,half,16384,20199.0
V100-PCIE-16GB,4,2,half,32768,30278.0
V100-PCIE-16GB,4,2,half,65536,58676.0
V100-PCIE-16GB,4,2,half,131072,116580.0
V100-PCIE-16GB,4,2,half,262144,269495.0
V100-PCIE-16GB,4,1,half,1,457.0
V100-PCIE-16GB,4,2,half,1,480.0
V100-PCIE-16GB,4,4,half,1,510.0
V100-PCIE-16GB,4,8,half,1,585.0
V100-PCIE-16GB,4,16,half,1,595.0
V100-PCIE-16GB,4,32,half,1,670.0
V100-PCIE-16GB,4,64,half,1,1187.0
V100-PCIE-16GB,4,128,half,1,936.0
V100-PCIE-16GB,4,256,half,1,1197.0
V100-PCIE-16GB,4,512,half,1,1471.0
V100-PCIE-16GB,4,1024,half,1,2937.0
V100-PCIE-16GB,4,2048,half,1,3939.0
