gpu,num_nodes,num_gpus_per_node,dtype,size(kb),time(us)
V100-PCIE-16GB,1,2,half,1,10.73
V100-PCIE-16GB,1,2,half,2,11.68
V100-PCIE-16GB,1,2,half,4,13.43
V100-PCIE-16GB,1,2,half,8,17.16
V100-PCIE-16GB,1,2,half,16,24.35
V100-PCIE-16GB,1,2,half,32,27.0
V100-PCIE-16GB,1,2,half,64,38.1
V100-PCIE-16GB,1,2,half,128,62.93
V100-PCIE-16GB,1,2,half,256,95.28
V100-PCIE-16GB,1,2,half,512,154.8
V100-PCIE-16GB,1,2,half,1024,287.1
V100-PCIE-16GB,1,2,half,2048,537.1
V100-PCIE-16GB,1,2,half,4096,1080.8
V100-PCIE-16GB,1,2,half,8192,1846.0
V100-PCIE-16GB,1,2,half,16384,3726.0
V100-PCIE-16GB,1,2,half,32768,7514.1
V100-PCIE-16GB,1,2,half,65536,15196.0
V100-PCIE-16GB,1,2,half,131072,30448.0
V100-PCIE-16GB,1,2,half,262144,61048.0
V100-PCIE-16GB,2,1,half,1,30.0
V100-PCIE-16GB,2,1,half,2,26.0
V100-PCIE-16GB,2,1,half,4,37.0
V100-PCIE-16GB,2,1,half,8,34.0
V100-PCIE-16GB,2,1,half,16,35.0
V100-PCIE-16GB,2,1,half,32,63.0
V100-PCIE-16GB,2,1,half,64,90.0
V100-PCIE-16GB,2,1,half,128,190.0
V100-PCIE-16GB,2,1,half,256,287.0
V100-PCIE-16GB,2,1,half,512,535.0
V100-PCIE-16GB,2,1,half,1024,1121.0
V100-PCIE-16GB,2,1,half,2048,1762.0
V100-PCIE-16GB,2,1,half,4096,4183.0
V100-PCIE-16GB,2,1,half,8192,7938.0
V100-PCIE-16GB,2,1,half,16384,13956.0
V100-PCIE-16GB,2,1,half,32768,28780.0
V100-PCIE-16GB,2,1,half,65536,64833.0
V100-PCIE-16GB,2,1,half,131072,120357.0
V100-PCIE-16GB,2,1,half,262144,224820.0
