gpu,num_nodes,num_gpus_per_node,dtype,size(kb),time(us)
V100-PCIE-16GB,1,4,half,1,22.66
V100-PCIE-16GB,1,4,half,2,23.87
V100-PCIE-16GB,1,4,half,4,25.69
V100-PCIE-16GB,1,4,half,8,27.72
V100-PCIE-16GB,1,4,half,16,34.13
V100-PCIE-16GB,1,4,half,32,40.45
V100-PCIE-16GB,1,4,half,64,73.72
V100-PCIE-16GB,1,4,half,128,95.56
V100-PCIE-16GB,1,4,half,256,144.1
V100-PCIE-16GB,1,4,half,512,221.9
V100-PCIE-16GB,1,4,half,1024,385.0
V100-PCIE-16GB,1,4,half,2048,729.1
V100-PCIE-16GB,1,4,half,4096,1427.9
V100-PCIE-16GB,1,4,half,8192,2841.8
V100-PCIE-16GB,1,4,half,16384,5646.0
V100-PCIE-16GB,1,4,half,32768,11288.0
V100-PCIE-16GB,1,4,half,65536,22550.0
V100-PCIE-16GB,1,4,half,131072,47907.0
V100-PCIE-16GB,1,4,half,262144,90236.0
V100-PCIE-16GB,1,2,half,1,12.22
V100-PCIE-16GB,1,2,half,2,12.88
V100-PCIE-16GB,1,2,half,4,13.79
V100-PCIE-16GB,1,2,half,8,16.32
V100-PCIE-16GB,1,2,half,16,20.53
V100-PCIE-16GB,1,2,half,32,28.54
V100-PCIE-16GB,1,2,half,64,44.11
V100-PCIE-16GB,1,2,half,128,63.69
V100-PCIE-16GB,1,2,half,256,98.32
V100-PCIE-16GB,1,2,half,512,165.8
V100-PCIE-16GB,1,2,half,1024,302.4
V100-PCIE-16GB,1,2,half,2048,582.4
V100-PCIE-16GB,1,2,half,4096,1138.9
V100-PCIE-16GB,1,2,half,8192,2255.2
V100-PCIE-16GB,1,2,half,16384,4493.1
V100-PCIE-16GB,1,2,half,32768,8967.2
V100-PCIE-16GB,1,2,half,65536,17915.0
V100-PCIE-16GB,1,2,half,131072,35751.0
V100-PCIE-16GB,1,2,half,262144,71418.0
V100-PCIE-16GB,2,4,half,1,326.0
V100-PCIE-16GB,2,4,half,2,350.0
V100-PCIE-16GB,2,4,half,4,435.0
V100-PCIE-16GB,2,4,half,8,915.0
V100-PCIE-16GB,2,4,half,16,1021.0
V100-PCIE-16GB,2,4,half,32,1079.0
V100-PCIE-16GB,2,4,half,64,831.0
V100-PCIE-16GB,2,4,half,128,904.0
V100-PCIE-16GB,2,4,half,256,1077.0
V100-PCIE-16GB,2,4,half,512,2324.0
V100-PCIE-16GB,2,4,half,1024,3885.0
V100-PCIE-16GB,2,4,half,2048,5724.0
V100-PCIE-16GB,2,4,half,4096,9674.0
V100-PCIE-16GB,2,4,half,8192,16913.0
V100-PCIE-16GB,2,4,half,16384,29196.0
V100-PCIE-16GB,2,4,half,32768,53815.0
V100-PCIE-16GB,2,4,half,65536,104633.0
V100-PCIE-16GB,2,4,half,131072,212980.0
V100-PCIE-16GB,2,4,half,262144,401712.0
V100-PCIE-16GB,2,2,half,1,355.0
V100-PCIE-16GB,2,2,half,2,478.0
V100-PCIE-16GB,2,2,half,4,554.0
V100-PCIE-16GB,2,2,half,8,561.0
V100-PCIE-16GB,2,2,half,16,647.0
V100-PCIE-16GB,2,2,half,32,657.0
V100-PCIE-16GB,2,2,half,64,647.0
V100-PCIE-16GB,2,2,half,128,768.0
V100-PCIE-16GB,2,2,half,256,1386.0
V100-PCIE-16GB,2,2,half,512,1938.0
V100-PCIE-16GB,2,2,half,1024,3042.0
V100-PCIE-16GB,2,2,half,2048,5135.0
V100-PCIE-16GB,2,2,half,4096,8653.0
V100-PCIE-16GB,2,2,half,8192,13517.0
V100-PCIE-16GB,2,2,half,16384,22689.0
V100-PCIE-16GB,2,2,half,32768,47114.0
V100-PCIE-16GB,2,2,half,65536,83503.0
V100-PCIE-16GB,2,2,half,131072,170212.0
V100-PCIE-16GB,2,2,half,262144,371190.0
V100-PCIE-16GB,2,1,half,1,258.0
V100-PCIE-16GB,2,1,half,2,275.0
V100-PCIE-16GB,2,1,half,4,317.0
V100-PCIE-16GB,2,1,half,8,333.0
V100-PCIE-16GB,2,1,half,16,402.0
V100-PCIE-16GB,2,1,half,32,488.0
V100-PCIE-16GB,2,1,half,64,621.0
V100-PCIE-16GB,2,1,half,128,960.0
V100-PCIE-16GB,2,1,half,256,831.0
V100-PCIE-16GB,2,1,half,512,1456.0
V100-PCIE-16GB,2,1,half,1024,2143.0
V100-PCIE-16GB,2,1,half,2048,4046.0
V100-PCIE-16GB,2,1,half,4096,5210.0
V100-PCIE-16GB,2,1,half,8192,10049.0
V100-PCIE-16GB,2,1,half,16384,18746.0
V100-PCIE-16GB,2,1,half,32768,32402.0
V100-PCIE-16GB,2,1,half,65536,67292.0
V100-PCIE-16GB,2,1,half,131072,140106.0
V100-PCIE-16GB,2,1,half,262144,235047.0
V100-PCIE-16GB,4,4,half,1,668.0
V100-PCIE-16GB,4,4,half,2,836.0
V100-PCIE-16GB,4,4,half,4,875.0
V100-PCIE-16GB,4,4,half,8,912.0
V100-PCIE-16GB,4,4,half,16,1270.0
V100-PCIE-16GB,4,4,half,32,1335.0
V100-PCIE-16GB,4,4,half,64,1496.0
V100-PCIE-16GB,4,4,half,128,1638.0
V100-PCIE-16GB,4,4,half,256,2053.0
V100-PCIE-16GB,4,4,half,512,3072.0
V100-PCIE-16GB,4,4,half,1024,5151.0
V100-PCIE-16GB,4,4,half,2048,8122.0
V100-PCIE-16GB,4,4,half,4096,13844.0
V100-PCIE-16GB,4,4,half,8192,25674.0
V100-PCIE-16GB,4,4,half,16384,46371.0
V100-PCIE-16GB,4,4,half,32768,69491.0
V100-PCIE-16GB,4,4,half,65536,118579.0
V100-PCIE-16GB,4,4,half,131072,241147.0
V100-PCIE-16GB,4,4,half,262144,480529.0
V100-PCIE-16GB,4,2,half,1,774.0
V100-PCIE-16GB,4,2,half,2,874.0
V100-PCIE-16GB,4,2,half,4,929.0
V100-PCIE-16GB,4,2,half,8,1545.0
V100-PCIE-16GB,4,2,half,16,1724.0
V100-PCIE-16GB,4,2,half,32,1949.0
V100-PCIE-16GB,4,2,half,64,1595.0
V100-PCIE-16GB,4,2,half,128,1814.0
V100-PCIE-16GB,4,2,half,256,2258.0
V100-PCIE-16GB,4,2,half,512,4953.0
V100-PCIE-16GB,4,2,half,1024,6060.0
V100-PCIE-16GB,4,2,half,2048,8742.0
V100-PCIE-16GB,4,2,half,4096,15084.0
V100-PCIE-16GB,4,2,half,8192,24321.0
V100-PCIE-16GB,4,2,half,16384,35958.0
V100-PCIE-16GB,4,2,half,32768,56912.0
V100-PCIE-16GB,4,2,half,65536,145972.0
V100-PCIE-16GB,4,2,half,131072,243619.0
V100-PCIE-16GB,4,2,half,262144,470109.0
V100-PCIE-16GB,4,1,half,1,832.0
V100-PCIE-16GB,4,1,half,2,1116.0
V100-PCIE-16GB,4,1,half,4,1205.0
V100-PCIE-16GB,4,1,half,8,1157.0
V100-PCIE-16GB,4,1,half,16,1413.0
V100-PCIE-16GB,4,1,half,32,2046.0
V100-PCIE-16GB,4,1,half,64,2378.0
V100-PCIE-16GB,4,1,half,128,2553.0
V100-PCIE-16GB,4,1,half,256,2650.0
V100-PCIE-16GB,4,1,half,512,3335.0
V100-PCIE-16GB,4,1,half,1024,5182.0
V100-PCIE-16GB,4,1,half,2048,8036.0
V100-PCIE-16GB,4,1,half,4096,13147.0
V100-PCIE-16GB,4,1,half,8192,19701.0
V100-PCIE-16GB,4,1,half,16384,28140.0
V100-PCIE-16GB,4,1,half,32768,56065.0
V100-PCIE-16GB,4,1,half,65536,107586.0
V100-PCIE-16GB,4,1,half,131072,428927.0
V100-PCIE-16GB,4,1,half,262144,1007143.0
