gpu,num_nodes,num_gpus_per_node,dtype,size(kb),time(us)
V100-PCIE-16GB,1,4,half,1,14
V100-PCIE-16GB,1,4,half,2,14
V100-PCIE-16GB,1,4,half,4,15
V100-PCIE-16GB,1,4,half,8,17
V100-PCIE-16GB,1,4,half,16,21
V100-PCIE-16GB,1,4,half,32,29
V100-PCIE-16GB,1,4,half,64,46
V100-PCIE-16GB,1,4,half,128,53
V100-PCIE-16GB,1,4,half,256,87
V100-PCIE-16GB,1,4,half,512,156
V100-PCIE-16GB,1,4,half,1024,242
V100-PCIE-16GB,1,4,half,2048,421
V100-PCIE-16GB,1,4,half,4096,774
V100-PCIE-16GB,1,4,half,8192,1477
V100-PCIE-16GB,1,4,half,16384,2888
V100-PCIE-16GB,1,4,half,32768,5646
V100-PCIE-16GB,1,4,half,65536,11041
V100-PCIE-16GB,1,4,half,131072,21957
V100-PCIE-16GB,1,4,half,262144,43327
V100-PCIE-16GB,1,2,half,1,12
V100-PCIE-16GB,1,2,half,2,12
V100-PCIE-16GB,1,2,half,4,13
V100-PCIE-16GB,1,2,half,8,14
V100-PCIE-16GB,1,2,half,16,18
V100-PCIE-16GB,1,2,half,32,26
V100-PCIE-16GB,1,2,half,64,29
V100-PCIE-16GB,1,2,half,128,38
V100-PCIE-16GB,1,2,half,256,63
V100-PCIE-16GB,1,2,half,512,91
V100-PCIE-16GB,1,2,half,1024,155
V100-PCIE-16GB,1,2,half,2048,291
V100-PCIE-16GB,1,2,half,4096,553
V100-PCIE-16GB,1,2,half,8192,1086
V100-PCIE-16GB,1,2,half,16384,1896
V100-PCIE-16GB,1,2,half,32768,3739
V100-PCIE-16GB,1,2,half,65536,7423
V100-PCIE-16GB,1,2,half,131072,14754
V100-PCIE-16GB,1,2,half,262144,29592
V100-PCIE-16GB,2,4,half,1,745
V100-PCIE-16GB,2,4,half,2,736
V100-PCIE-16GB,2,4,half,4,743
V100-PCIE-16GB,2,4,half,8,740
V100-PCIE-16GB,2,4,half,16,821
V100-PCIE-16GB,2,4,half,32,845
V100-PCIE-16GB,2,4,half,64,907
V100-PCIE-16GB,2,4,half,128,1066
V100-PCIE-16GB,2,4,half,256,1815
V100-PCIE-16GB,2,4,half,512,2380
V100-PCIE-16GB,2,4,half,1024,4405
V100-PCIE-16GB,2,4,half,2048,7470
V100-PCIE-16GB,2,4,half,4096,12460
V100-PCIE-16GB,2,4,half,8192,33304
V100-PCIE-16GB,2,4,half,16384,39799
V100-PCIE-16GB,2,4,half,32768,90169
V100-PCIE-16GB,2,4,half,65536,140571
V100-PCIE-16GB,2,4,half,131072,284811
V100-PCIE-16GB,2,4,half,262144,530200
V100-PCIE-16GB,2,2,half,1,294
V100-PCIE-16GB,2,2,half,2,283
V100-PCIE-16GB,2,2,half,4,289
V100-PCIE-16GB,2,2,half,8,306
V100-PCIE-16GB,2,2,half,16,336
V100-PCIE-16GB,2,2,half,32,329
V100-PCIE-16GB,2,2,half,64,429
V100-PCIE-16GB,2,2,half,128,628
V100-PCIE-16GB,2,2,half,256,848
V100-PCIE-16GB,2,2,half,512,1286
