gpu,num_nodes,num_gpus_per_node,dtype,size(kb),time(us)
H200,1,8,half,0,10.0
H200,1,4,half,0,7.0
H200,1,2,half,0,5.0
H200,1,8,half,1,10.0
H200,1,4,half,1,7.0
H200,1,2,half,1,5.0
H200,1,8,half,2,10.0
H200,1,4,half,2,7.0
H200,1,2,half,2,5.0
H200,1,8,half,4,10.0
H200,1,4,half,4,7.0
H200,1,2,half,4,6.0
H200,1,8,half,8,10.0
H200,1,4,half,8,7.0
H200,1,2,half,8,6.0
H200,1,8,half,16,11.0
H200,1,4,half,16,8.0
H200,1,2,half,16,7.0
H200,1,8,half,32,13.0
H200,1,4,half,32,8.0
H200,1,2,half,32,7.0
H200,1,8,half,64,13.0
H200,1,4,half,64,9.0
H200,1,2,half,64,7.0
H200,1,8,half,128,13.0
H200,1,4,half,128,9.0
H200,1,2,half,128,7.0
H200,1,8,half,256,13.0
H200,1,4,half,256,9.0
H200,1,2,half,256,7.0
H200,1,8,half,512,14.0
H200,1,4,half,512,11.0
H200,1,2,half,512,9.0
H200,1,8,half,1024,17.0
H200,1,4,half,1024,13.0
H200,1,2,half,1024,11.0
H200,1,8,half,2048,23.0
H200,1,4,half,2048,19.0
H200,1,2,half,2048,17.0
H200,1,8,half,4096,33.0
H200,1,4,half,4096,36.0
H200,1,2,half,4096,25.0
H200,1,8,half,8192,46.0
H200,1,4,half,8192,43.0
H200,1,2,half,8192,34.0
H200,1,8,half,16384,69.0
H200,1,4,half,16384,61.0
H200,1,2,half,16384,52.0
H200,1,8,half,32768,121.0
H200,1,4,half,32768,104.0
H200,1,2,half,32768,91.0
H200,1,8,half,65536,207.0
H200,1,4,half,65536,187.0
H200,1,2,half,65536,155.0
H200,1,8,half,131072,382.0
H200,1,4,half,131072,344.0
H200,1,2,half,131072,283.0
