gpu,num_nodes,num_gpus_per_node,dtype,size(kb),time(us)
H200,1,8,half,0,15.0
H200,1,4,half,0,9.0
H200,1,2,half,0,6.0
H200,1,8,half,1,15.0
H200,1,4,half,1,9.0
H200,1,2,half,1,6.0
H200,1,8,half,2,16.0
H200,1,4,half,2,9.0
H200,1,2,half,2,6.0
H200,1,8,half,4,16.0
H200,1,4,half,4,10.0
H200,1,2,half,4,6.0
H200,1,8,half,8,16.0
H200,1,4,half,8,10.0
H200,1,2,half,8,7.0
H200,1,8,half,16,17.0
H200,1,4,half,16,11.0
H200,1,2,half,16,7.0
H200,1,8,half,32,18.0
H200,1,4,half,32,11.0
H200,1,2,half,32,7.0
H200,1,8,half,64,18.0
H200,1,4,half,64,11.0
H200,1,2,half,64,7.0
H200,1,8,half,128,19.0
H200,1,4,half,128,11.0
H200,1,2,half,128,7.0
H200,1,8,half,256,19.0
H200,1,4,half,256,11.0
H200,1,2,half,256,8.0
H200,1,8,half,512,19.0
H200,1,4,half,512,13.0
H200,1,2,half,512,10.0
H200,1,8,half,1024,25.0
H200,1,4,half,1024,18.0
H200,1,2,half,1024,15.0
H200,1,8,half,2048,34.0
H200,1,4,half,2048,27.0
H200,1,2,half,2048,27.0
H200,1,8,half,4096,49.0
H200,1,4,half,4096,41.0
H200,1,2,half,4096,32.0
H200,1,8,half,8192,75.0
H200,1,4,half,8192,61.0
H200,1,2,half,8192,46.0
H200,1,8,half,16384,123.0
H200,1,4,half,16384,98.0
H200,1,2,half,16384,80.0
H200,1,8,half,32768,220.0
H200,1,4,half,32768,173.0
H200,1,2,half,32768,142.0
H200,1,8,half,65536,374.0
H200,1,4,half,65536,326.0
H200,1,2,half,65536,249.0
H200,1,8,half,131072,710.0
H200,1,4,half,131072,610.0
H200,1,2,half,131072,465.0
