gpu,num_nodes,num_gpus_per_node,dtype,size(kb),time(us)
H200,1,8,half,0,10.0
H200,1,4,half,0,7.0
H200,1,2,half,0,5.0
H200,1,8,half,1,10.0
H200,1,4,half,1,7.0
H200,1,2,half,1,5.0
H200,1,8,half,2,10.0
H200,1,4,half,2,7.0
H200,1,2,half,2,5.0
H200,1,8,half,4,10.0
H200,1,4,half,4,7.0
H200,1,2,half,4,5.0
H200,1,8,half,8,10.0
H200,1,4,half,8,7.0
H200,1,2,half,8,6.0
H200,1,8,half,16,11.0
H200,1,4,half,16,8.0
H200,1,2,half,16,6.0
H200,1,8,half,32,11.0
H200,1,4,half,32,8.0
H200,1,2,half,32,6.0
H200,1,8,half,64,11.0
H200,1,4,half,64,8.0
H200,1,2,half,64,7.0
H200,1,8,half,128,12.0
H200,1,4,half,128,8.0
H200,1,2,half,128,7.0
H200,1,8,half,256,12.0
H200,1,4,half,256,8.0
H200,1,2,half,256,7.0
H200,1,8,half,512,12.0
H200,1,4,half,512,10.0
H200,1,2,half,512,8.0
H200,1,8,half,1024,15.0
H200,1,4,half,1024,12.0
H200,1,2,half,1024,11.0
H200,1,8,half,2048,20.0
H200,1,4,half,2048,18.0
H200,1,2,half,2048,16.0
H200,1,8,half,4096,32.0
H200,1,4,half,4096,33.0
H200,1,2,half,4096,23.0
H200,1,8,half,8192,45.0
H200,1,4,half,8192,39.0
H200,1,2,half,8192,32.0
H200,1,8,half,16384,70.0
H200,1,4,half,16384,58.0
H200,1,2,half,16384,50.0
H200,1,8,half,32768,112.0
H200,1,4,half,32768,104.0
H200,1,2,half,32768,93.0
H200,1,8,half,65536,202.0
H200,1,4,half,65536,191.0
H200,1,2,half,65536,165.0
H200,1,8,half,131072,382.0
H200,1,4,half,131072,353.0
H200,1,2,half,131072,307.0
