gpu,num_nodes,num_gpus_per_node,dtype,size(kb),time(us)
H200,1,8,half,0,13
H200,1,4,half,0,9
H200,1,2,half,0,6
H200,1,8,half,1,13
H200,1,4,half,1,9
H200,1,2,half,1,7
H200,1,8,half,2,13
H200,1,4,half,2,9
H200,1,2,half,2,7
H200,1,8,half,4,13
H200,1,4,half,4,9
H200,1,2,half,4,6
H200,1,8,half,8,13
H200,1,4,half,8,9
H200,1,2,half,8,7
H200,1,8,half,16,13
H200,1,4,half,16,9
H200,1,2,half,16,7
H200,1,8,half,32,13
H200,1,4,half,32,9
H200,1,2,half,32,8
H200,1,8,half,64,13
H200,1,4,half,64,9
H200,1,2,half,64,8
H200,1,8,half,128,13
H200,1,4,half,128,9
H200,1,2,half,128,8
H200,1,8,half,256,14
H200,1,4,half,256,10
H200,1,2,half,256,8
H200,1,8,half,512,14
H200,1,4,half,512,11
H200,1,2,half,512,10
H200,1,8,half,1024,15
H200,1,4,half,1024,14
H200,1,2,half,1024,13
H200,1,8,half,2048,23
H200,1,4,half,2048,22
H200,1,2,half,2048,15
H200,1,8,half,4096,38
H200,1,4,half,4096,23
H200,1,2,half,4096,20
H200,1,8,half,8192,42
H200,1,4,half,8192,37
H200,1,2,half,8192,30
H200,1,8,half,16384,70
H200,1,4,half,16384,62
H200,1,2,half,16384,48
H200,1,8,half,32768,127
H200,1,4,half,32768,108
H200,1,2,half,32768,85
H200,1,8,half,65536,213
H200,1,4,half,65536,201
H200,1,2,half,65536,143
H200,1,8,half,131072,401
H200,1,4,half,131072,349
H200,1,2,half,131072,262
