gpu,num_nodes,num_gpus_per_node,dtype,size(kb),time(us)
H100-SXM-80GB,1,2,half,0,6.0
H100-SXM-80GB,1,2,half,1,6.0
H100-SXM-80GB,1,2,half,2,7.0
H100-SXM-80GB,1,2,half,4,7.0
H100-SXM-80GB,1,2,half,8,7.0
H100-SXM-80GB,1,2,half,16,8.0
H100-SXM-80GB,1,2,half,32,9.0
H100-SXM-80GB,1,2,half,64,10.0
H100-SXM-80GB,1,2,half,128,10.0
H100-SXM-80GB,1,2,half,256,10.0
H100-SXM-80GB,1,2,half,512,11.0
H100-SXM-80GB,1,2,half,1024,12.0
H100-SXM-80GB,1,2,half,2048,15.0
H100-SXM-80GB,1,2,half,4096,21.0
H100-SXM-80GB,1,2,half,8192,32.0
H100-SXM-80GB,1,2,half,16384,72.0
H100-SXM-80GB,1,2,half,32768,102.0
H100-SXM-80GB,1,2,half,65536,196.0
H100-SXM-80GB,1,2,half,131072,379.0
H100-SXM-80GB,1,2,float,1,6.0
H100-SXM-80GB,1,2,float,2,6.0
H100-SXM-80GB,1,2,float,4,7.0
H100-SXM-80GB,1,2,float,8,7.0
H100-SXM-80GB,1,2,float,16,9.0
H100-SXM-80GB,1,2,float,32,9.0
H100-SXM-80GB,1,2,float,64,9.0
H100-SXM-80GB,1,2,float,128,10.0
H100-SXM-80GB,1,2,float,256,10.0
H100-SXM-80GB,1,2,float,512,10.0
H100-SXM-80GB,1,2,float,1024,12.0
H100-SXM-80GB,1,2,float,2048,16.0
H100-SXM-80GB,1,2,float,4096,21.0
H100-SXM-80GB,1,2,float,8192,32.0
H100-SXM-80GB,1,2,float,16384,55.0
H100-SXM-80GB,1,2,float,32768,102.0
H100-SXM-80GB,1,2,float,65536,196.0
H100-SXM-80GB,1,2,float,131072,377.0
H100-SXM-80GB,1,2,float,262144,738.0
