gpu,num_nodes,num_gpus_per_node,dtype,size(kb),time(us)
H100-SXM-80GB,1,8,half,0,14.0
H100-SXM-80GB,1,4,half,0,10.0
H100-SXM-80GB,1,2,half,0,8.0
H100-SXM-80GB,1,8,half,1,15.0
H100-SXM-80GB,1,4,half,1,11.0
H100-SXM-80GB,1,2,half,1,8.0
H100-SXM-80GB,1,8,half,2,16.0
H100-SXM-80GB,1,4,half,2,11.0
H100-SXM-80GB,1,2,half,2,8.0
H100-SXM-80GB,1,8,half,4,17.0
H100-SXM-80GB,1,4,half,4,12.0
H100-SXM-80GB,1,2,half,4,8.0
H100-SXM-80GB,1,8,half,8,18.0
H100-SXM-80GB,1,4,half,8,11.0
H100-SXM-80GB,1,2,half,8,8.0
H100-SXM-80GB,1,8,half,16,19.0
H100-SXM-80GB,1,4,half,16,13.0
H100-SXM-80GB,1,2,half,16,9.0
H100-SXM-80GB,1,8,half,32,20.0
H100-SXM-80GB,1,4,half,32,13.0
H100-SXM-80GB,1,2,half,32,9.0
H100-SXM-80GB,1,8,half,64,21.0
H100-SXM-80GB,1,4,half,64,13.0
H100-SXM-80GB,1,2,half,64,9.0
H100-SXM-80GB,1,8,half,128,21.0
H100-SXM-80GB,1,4,half,128,13.0
H100-SXM-80GB,1,2,half,128,9.0
H100-SXM-80GB,1,8,half,256,21.0
H100-SXM-80GB,1,4,half,256,14.0
H100-SXM-80GB,1,2,half,256,10.0
H100-SXM-80GB,1,8,half,512,32.0
H100-SXM-80GB,1,4,half,512,16.0
H100-SXM-80GB,1,2,half,512,12.0
H100-SXM-80GB,1,8,half,1024,34.0
H100-SXM-80GB,1,4,half,1024,20.0
H100-SXM-80GB,1,2,half,1024,25.0
H100-SXM-80GB,1,8,half,2048,40.0
H100-SXM-80GB,1,4,half,2048,35.0
H100-SXM-80GB,1,2,half,2048,28.0
H100-SXM-80GB,1,8,half,4096,52.0
H100-SXM-80GB,1,4,half,4096,51.0
H100-SXM-80GB,1,2,half,4096,34.0
H100-SXM-80GB,1,8,half,8192,80.0
H100-SXM-80GB,1,4,half,8192,82.0
H100-SXM-80GB,1,2,half,8192,48.0
H100-SXM-80GB,1,8,half,16384,122.0
H100-SXM-80GB,1,4,half,16384,99.0
H100-SXM-80GB,1,2,half,16384,79.0
H100-SXM-80GB,1,8,half,32768,198.0
H100-SXM-80GB,1,4,half,32768,171.0
H100-SXM-80GB,1,2,half,32768,139.0
H100-SXM-80GB,1,8,half,65536,325.0
H100-SXM-80GB,1,4,half,65536,323.0
H100-SXM-80GB,1,2,half,65536,248.0
H100-SXM-80GB,1,8,half,131072,597.0
H100-SXM-80GB,1,4,half,131072,611.0
H100-SXM-80GB,1,2,half,131072,465.0
H100-SXM-80GB,1,8,float,1,15.0
H100-SXM-80GB,1,4,float,1,11.0
H100-SXM-80GB,1,2,float,1,8.0
H100-SXM-80GB,1,8,float,2,16.0
H100-SXM-80GB,1,4,float,2,11.0
H100-SXM-80GB,1,2,float,2,8.0
H100-SXM-80GB,1,8,float,4,18.0
H100-SXM-80GB,1,4,float,4,11.0
H100-SXM-80GB,1,2,float,4,8.0
H100-SXM-80GB,1,8,float,8,18.0
H100-SXM-80GB,1,4,float,8,12.0
H100-SXM-80GB,1,2,float,8,8.0
H100-SXM-80GB,1,8,float,16,19.0
H100-SXM-80GB,1,4,float,16,12.0
H100-SXM-80GB,1,2,float,16,8.0
H100-SXM-80GB,1,8,float,32,20.0
H100-SXM-80GB,1,4,float,32,12.0
H100-SXM-80GB,1,2,float,32,9.0
H100-SXM-80GB,1,8,float,64,20.0
H100-SXM-80GB,1,4,float,64,13.0
H100-SXM-80GB,1,2,float,64,9.0
H100-SXM-80GB,1,8,float,128,21.0
H100-SXM-80GB,1,4,float,128,13.0
H100-SXM-80GB,1,2,float,128,9.0
H100-SXM-80GB,1,8,float,256,21.0
H100-SXM-80GB,1,4,float,256,13.0
H100-SXM-80GB,1,2,float,256,10.0
H100-SXM-80GB,1,8,float,512,32.0
H100-SXM-80GB,1,4,float,512,15.0
H100-SXM-80GB,1,2,float,512,11.0
H100-SXM-80GB,1,8,float,1024,34.0
H100-SXM-80GB,1,4,float,1024,19.0
H100-SXM-80GB,1,2,float,1024,24.0
H100-SXM-80GB,1,8,float,2048,40.0
H100-SXM-80GB,1,4,float,2048,34.0
H100-SXM-80GB,1,2,float,2048,28.0
H100-SXM-80GB,1,8,float,4096,52.0
H100-SXM-80GB,1,4,float,4096,49.0
H100-SXM-80GB,1,2,float,4096,33.0
H100-SXM-80GB,1,8,float,8192,80.0
H100-SXM-80GB,1,4,float,8192,65.0
H100-SXM-80GB,1,2,float,8192,48.0
H100-SXM-80GB,1,8,float,16384,123.0
H100-SXM-80GB,1,4,float,16384,98.0
H100-SXM-80GB,1,2,float,16384,79.0
H100-SXM-80GB,1,8,float,32768,199.0
H100-SXM-80GB,1,4,float,32768,172.0
H100-SXM-80GB,1,2,float,32768,137.0
H100-SXM-80GB,1,8,float,65536,327.0
H100-SXM-80GB,1,4,float,65536,325.0
H100-SXM-80GB,1,2,float,65536,247.0
H100-SXM-80GB,1,8,float,131072,600.0
H100-SXM-80GB,1,4,float,131072,613.0
H100-SXM-80GB,1,2,float,131072,461.0
H100-SXM-80GB,1,8,float,262144,1135.0
H100-SXM-80GB,1,4,float,262144,1177.0
H100-SXM-80GB,1,2,float,262144,881.0
